"AppealId","AppealDecision","PunishmentDuration","FineAmount","CurrencyCode"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","P0D","0.0","EUR"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","P1Y","0.0","EUR"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","P2Y","0.0","EUR"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","P0D","18620.0","EUR"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","P1Y","18620.0","EUR"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","P2Y","18620.0","EUR"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","P0D","350000.0","EUR"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","P1Y","350000.0","EUR"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","P2Y","350000.0","EUR"
"19-81.929","http://growgraph.dev/fcaont#AppealRejected",,,
"19-86.149",,,,
"19-87.735","https://growgraph.dev/fca/appeal/fca--19-87--735#AppealDecision_1987735",,,
"20-82.707","http://growgraph.dev/fcaont#AppealRejected",,,
"20-85.968","http://growgraph.dev/fcaont#AppealRejected","PT3Y",,
"20-85.968","http://growgraph.dev/fcaont#AppealRejected","PT3Y",,
"20-85.968","http://growgraph.dev/fcaont#AppealRejected","PT3Y",,
"20-86.117",,,,
"21-80.493","http://growgraph.dev/fcaont#AppealRejected","P3Y",,
"21-80.601",,,,
"21-81.001","http://growgraph.dev/fcaont#AppealCassationPartial",,,
"21-81.391","http://growgraph.dev/fcaont#AppealRejected",,,
"21-81.723",,,,
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"1.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"100.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"100.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"1000.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"1000.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"10000.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"100000.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"135.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"150.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"150.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"1500.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"15000.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"200.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"2000.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"2000.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"20000.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"200000.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"2500.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"2500.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"25000.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"259000.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"300.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"30000.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"400.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"500.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"500.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"5000.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"5000.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"50000.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"60.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"68.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"75.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"750.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"800.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"8000.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"80000.0","EUR"
"21-81.742","http://growgraph.dev/fcaont#AppealCassationPartial",,"90.0","EUR"
"21-82.035",,,,
"21-82.111","http://growgraph.dev/fcaont#AppealRejected",,,
"21-82.380",,,,
"21-82.469","http://growgraph.dev/fcaont#AppealRejected",,,
"21-82.778","http://growgraph.dev/fcaont#AppealRejected",,,
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P10M","1.0","EUR"
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P10Y","1.0","EUR"
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P13Y","1.0","EUR"
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P14Y","1.0","EUR"
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P15Y","1.0","EUR"
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P18Y","1.0","EUR"
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P1M","1.0","EUR"
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P1Y","1.0","EUR"
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P1Y6M","1.0","EUR"
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P22Y2M11D","1.0","EUR"
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P23Y","1.0","EUR"
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P25Y","1.0","EUR"
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P2M","1.0","EUR"
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P2Y","1.0","EUR"
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P2Y1M","1.0","EUR"
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P30Y","1.0","EUR"
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P3M","1.0","EUR"
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P3Y","1.0","EUR"
"21-82.844","http://growgraph.dev/fcaont#AppealRejected","P4M","1.0","EUR"
