"CaseId","AppealDecision","OffenseType"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#Assault"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#Burglary"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#CyberCrime"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#Disorderly_Conduct"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#DrugOffense"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#Embezzlement"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#Fraud"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#Homicide"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#MoneyLaundering"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#OffenseType"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#PropertyOffense"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#PublicOrderCrime"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#Robbery"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#Theft"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#Vandalism"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#ViolentOffense"
"16-82.525","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#WhiteCollarOffense"
"19-81.929","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#Assault"
"19-81.929","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#Burglary"
"19-81.929","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#CyberCrime"
"19-81.929","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#Disorderly_Conduct"
"19-81.929","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#DrugOffense"
"19-81.929","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#Embezzlement"
"19-81.929","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#Fraud"
"19-81.929","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#Homicide"
"19-81.929","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#MoneyLaundering"
"19-81.929","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#OffenseType"
"19-81.929","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#PropertyOffense"
"19-81.929","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#PublicOrderCrime"
"19-81.929","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#Robbery"
"19-81.929","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#Theft"
"19-81.929","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#Vandalism"
"19-81.929","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#ViolentOffense"
"19-81.929","http://growgraph.dev/fcaont#AppealRejected","http://growgraph.dev/fcaont#WhiteCollarOffense"
"19-87.735","https://growgraph.dev/fca/appeal/fca--19-87--735#AppealDecision_1987735","http://growgraph.dev/fcaont#Assault"
"19-87.735","https://growgraph.dev/fca/appeal/fca--19-87--735#AppealDecision_1987735","http://growgraph.dev/fcaont#Burglary"
"19-87.735","https://growgraph.dev/fca/appeal/fca--19-87--735#AppealDecision_1987735","http://growgraph.dev/fcaont#CyberCrime"
"19-87.735","https://growgraph.dev/fca/appeal/fca--19-87--735#AppealDecision_1987735","http://growgraph.dev/fcaont#Disorderly_Conduct"
"19-87.735","https://growgraph.dev/fca/appeal/fca--19-87--735#AppealDecision_1987735","http://growgraph.dev/fcaont#DrugOffense"
"19-87.735","https://growgraph.dev/fca/appeal/fca--19-87--735#AppealDecision_1987735","http://growgraph.dev/fcaont#Embezzlement"
"19-87.735","https://growgraph.dev/fca/appeal/fca--19-87--735#AppealDecision_1987735","http://growgraph.dev/fcaont#Fraud"
"19-87.735","https://growgraph.dev/fca/appeal/fca--19-87--735#AppealDecision_1987735","http://growgraph.dev/fcaont#Homicide"
"19-87.735","https://growgraph.dev/fca/appeal/fca--19-87--735#AppealDecision_1987735","http://growgraph.dev/fcaont#MoneyLaundering"
"19-87.735","https://growgraph.dev/fca/appeal/fca--19-87--735#AppealDecision_1987735","http://growgraph.dev/fcaont#OffenseType"
"19-87.735","https://growgraph.dev/fca/appeal/fca--19-87--735#AppealDecision_1987735","http://growgraph.dev/fcaont#PropertyOffense"
"19-87.735","https://growgraph.dev/fca/appeal/fca--19-87--735#AppealDecision_1987735","http://growgraph.dev/fcaont#PublicOrderCrime"
"19-87.735","https://growgraph.dev/fca/appeal/fca--19-87--735#AppealDecision_1987735","http://growgraph.dev/fcaont#Robbery"
